n                   ,FFT-1024            ,FFT-32768           ,FFT-1024 us         ,FFT-32768 us        
16                  ,328                 ,328                 ,6                   ,6                   
32                  ,760                 ,760                 ,14                  ,14                  
64                  ,1720                ,1720                ,44                  ,45                  
128                 ,3831                ,3831                ,126                 ,131                 
256                 ,8440                ,8440                ,178                 ,197                 
512                 ,18424               ,18424               ,752                 ,796                 
1024                ,39928               ,39928               ,1755                ,1758                
2048                ,86008               ,86008               ,3808                ,3972                
4096                ,184312              ,184312              ,7902                ,7707                
8192                ,393207              ,393207              ,18113               ,17785               
16384               ,835575              ,835575              ,36493               ,36980               
32768               ,1769463             ,1769463             ,82604               ,83225               
65536               ,3735543             ,3735543             ,176316              ,176913              
